Country Name,Country Code,Region,IncomeGroup,Year,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Electric power consumption (kWh per capita),GDP (USD),GDP per capita (USD),Individuals using the Internet (% of population),"Infant mortality rate (per 1,000 live births)",Life expectancy at birth (years),Population density (people per sq. km of land area),Unemployment (% of total labor force) (modeled ILO estimate)
Eritrea,ERI,Sub-Saharan Africa,Low income,2003,34.94,10.43,89.58,870248000.00,334.59,,49.80,57.19,25.75,6.82
Eritrea,ERI,Sub-Saharan Africa,Low income,2002,34.02,10.73,87.06,729321000.00,293.96,0.23,51.70,56.50,24.56,6.86
Eritrea,ERI,Sub-Saharan Africa,Low income,2001,33.17,11.06,81.69,752368000.00,316.82,0.16,53.90,55.86,23.51,6.45
Eritrea,ERI,Sub-Saharan Africa,Low income,2000,32.52,11.43,75.03,706371000.00,308.13,0.14,56.30,55.27,22.70,6.86
Eritrea,ERI,Sub-Saharan Africa,Low income,1999,32.19,11.85,78.66,688921000.00,307.91,0.03,58.90,54.71,22.15,6.45
Eritrea,ERI,Sub-Saharan Africa,Low income,1998,32.22,12.31,73.87,745526000.00,337.89,0.01,61.80,54.14,21.85,6.58
Eritrea,ERI,Sub-Saharan Africa,Low income,1997,32.63,12.80,84.28,686490000.00,312.73,0.01,65.00,53.55,21.73,6.56
Eritrea,ERI,Sub-Saharan Africa,Low income,1996,33.41,13.31,76.94,693536000.00,315.75,0.00,68.60,52.94,21.75,6.63
Eritrea,ERI,Sub-Saharan Africa,Low income,1995,34.52,13.82,67.14,578015625.00,262.23,0.00,72.70,52.32,21.82,6.87
Eritrea,ERI,Sub-Saharan Africa,Low income,1994,35.89,14.31,63.56,531688000.00,239.67,0.00,77.00,51.70,21.96,6.75
Eritrea,ERI,Sub-Saharan Africa,Low income,1993,37.39,14.77,57.18,467873000.00,209.00,0.00,81.40,51.10,22.16,6.60
Eritrea,ERI,Sub-Saharan Africa,Low income,1992,38.89,15.18,54.48,477102000.00,211.33,,85.80,50.55,22.35,6.81
Eritrea,ERI,Sub-Saharan Africa,Low income,1991,40.32,15.53,,,,,89.90,50.04,22.44,6.70
Eritrea,ERI,Sub-Saharan Africa,Low income,1990,41.58,15.83,,,,0.00,93.60,49.59,22.36,
Eritrea,ERI,Sub-Saharan Africa,Low income,1989,42.64,16.07,,,,,96.90,49.19,22.09,
Eritrea,ERI,Sub-Saharan Africa,Low income,1988,43.50,16.28,,,,,99.90,48.84,21.64,
Eritrea,ERI,Sub-Saharan Africa,Low income,1987,44.18,16.48,,,,,102.50,48.52,21.06,
Eritrea,ERI,Sub-Saharan Africa,Low income,1986,44.68,16.66,,,,,104.70,48.23,20.44,
Eritrea,ERI,Sub-Saharan Africa,Low income,1985,45.01,16.84,,,,,106.70,47.96,19.84,
Eritrea,ERI,Sub-Saharan Africa,Low income,1984,45.19,17.02,,,,,108.40,47.70,19.27,
Eritrea,ERI,Sub-Saharan Africa,Low income,1983,45.26,17.20,,,,,110.00,47.44,18.72,
Eritrea,ERI,Sub-Saharan Africa,Low income,1982,45.28,17.38,,,,,111.50,47.19,18.19,
Eritrea,ERI,Sub-Saharan Africa,Low income,1981,45.26,17.57,,,,,112.90,46.93,17.67,
Eritrea,ERI,Sub-Saharan Africa,Low income,1980,45.25,17.77,,,,,114.40,46.65,17.16,
Eritrea,ERI,Sub-Saharan Africa,Low income,1979,45.26,17.99,,,,,115.90,46.36,16.67,
Eritrea,ERI,Sub-Saharan Africa,Low income,1978,45.29,18.22,,,,,117.50,46.06,16.21,
Eritrea,ERI,Sub-Saharan Africa,Low income,1977,45.35,18.47,,,,,119.50,45.74,15.76,
Eritrea,ERI,Sub-Saharan Africa,Low income,1976,45.44,18.74,,,,,121.70,45.40,15.33,
Eritrea,ERI,Sub-Saharan Africa,Low income,1975,45.56,19.03,,,,,124.10,45.05,14.91,
Eritrea,ERI,Sub-Saharan Africa,Low income,1974,45.74,19.34,,,,,126.70,44.69,14.49,
Eritrea,ERI,Sub-Saharan Africa,Low income,1973,45.94,19.67,,,,,,44.32,14.10,
Eritrea,ERI,Sub-Saharan Africa,Low income,1972,46.17,20.01,,,,,,43.93,13.71,
Eritrea,ERI,Sub-Saharan Africa,Low income,1971,46.42,20.37,,,,,,43.55,13.34,
Eritrea,ERI,Sub-Saharan Africa,Low income,1970,46.68,20.73,,,,,,43.16,12.98,
Eritrea,ERI,Sub-Saharan Africa,Low income,1969,46.95,21.09,,,,,,42.77,12.63,
Eritrea,ERI,Sub-Saharan Africa,Low income,1968,47.21,21.45,,,,,,42.39,12.30,
Eritrea,ERI,Sub-Saharan Africa,Low income,1967,47.47,21.80,,,,,,42.02,11.98,
Eritrea,ERI,Sub-Saharan Africa,Low income,1966,47.71,22.15,,,,,,41.63,11.67,
Eritrea,ERI,Sub-Saharan Africa,Low income,1965,47.93,22.52,,,,,,41.22,11.37,
Eritrea,ERI,Sub-Saharan Africa,Low income,1964,48.14,22.94,,,,,,40.77,11.07,
Eritrea,ERI,Sub-Saharan Africa,Low income,1963,48.33,23.40,,,,,,40.26,10.78,
Eritrea,ERI,Sub-Saharan Africa,Low income,1962,48.50,23.92,,,,,,39.69,10.50,
Eritrea,ERI,Sub-Saharan Africa,Low income,1961,48.65,24.49,,,,,,39.08,10.23,
Eritrea,ERI,Sub-Saharan Africa,Low income,1960,48.76,25.11,,,,,,38.42,,
Estonia,EST,Europe & Central Asia,High income: OECD,2018,,,,30284900000.00,22927.70,89.36,2.10,,30.39,5.51
Estonia,EST,Europe & Central Asia,High income: OECD,2017,10.50,11.80,,26611700000.00,20200.40,88.10,2.20,77.64,30.31,5.76
Estonia,EST,Europe & Central Asia,High income: OECD,2016,10.70,11.70,,23984300000.00,18228.10,87.24,2.30,77.64,30.27,6.76
Estonia,EST,Europe & Central Asia,High income: OECD,2015,10.60,11.60,,22904500000.00,17412.40,88.41,2.50,77.59,30.26,6.19
Estonia,EST,Europe & Central Asia,High income: OECD,2014,10.30,11.80,6732.37,26615900000.00,20247.20,84.24,2.70,77.03,30.24,7.35
Estonia,EST,Europe & Central Asia,High income: OECD,2013,10.30,11.60,6664.66,25137200000.00,19072.20,80.00,2.90,77.14,30.32,8.63
Estonia,EST,Europe & Central Asia,High income: OECD,2012,10.60,11.70,6689.37,23043900000.00,17421.90,78.39,3.10,76.33,31.20,10.02
Estonia,EST,Europe & Central Asia,High income: OECD,2011,11.10,11.50,6314.41,23170200000.00,17454.80,76.50,3.30,76.23,31.31,12.33
Estonia,EST,Europe & Central Asia,High income: OECD,2010,11.90,11.90,6506.32,19490900000.00,14638.60,74.10,3.60,75.43,31.41,16.71
Estonia,EST,Europe & Central Asia,High income: OECD,2009,11.80,12.10,5975.95,19652500000.00,14726.30,72.50,3.90,74.82,31.48,13.55
Estonia,EST,Europe & Central Asia,High income: OECD,2008,12.00,12.50,6364.57,24194000000.00,18094.50,70.58,4.30,73.77,31.54,5.46
Estonia,EST,Europe & Central Asia,High income: OECD,2007,11.80,13.00,6277.41,22237100000.00,16586.40,66.19,4.70,72.81,31.63,4.59
Estonia,EST,Europe & Central Asia,High income: OECD,2006,11.00,12.90,5869.42,16963600000.00,12595.40,63.51,5.10,72.69,31.77,5.92
Estonia,EST,Europe & Central Asia,High income: OECD,2005,10.60,12.80,5531.55,14006100000.00,10338.30,61.45,5.60,72.57,31.96,8.03
Estonia,EST,Europe & Central Asia,High income: OECD,2004,10.30,13.00,5429.53,12059200000.00,8850.47,53.20,6.10,71.91,32.14,10.25
Estonia,EST,Europe & Central Asia,High income: OECD,2003,9.50,13.20,5158.60,9833870000.00,7174.24,45.32,6.70,71.32,32.34,11.29
Estonia,EST,Europe & Central Asia,High income: OECD,2002,9.40,13.30,4767.46,7322070000.00,5308.35,41.52,7.30,70.90,32.54,10.03
Estonia,EST,Europe & Central Asia,High income: OECD,2001,9.10,13.30,4680.45,6245070000.00,4498.96,31.53,8.00,70.26,32.75,13.13
Estonia,EST,Europe & Central Asia,High income: OECD,2000,9.40,13.20,4540.49,5685770000.00,4070.03,28.58,8.70,70.42,32.96,13.36
Estonia,EST,Europe & Central Asia,High income: OECD,1999,9.00,13.40,4460.37,5726900000.00,4119.35,14.50,9.40,70.06,32.80,11.57
Estonia,EST,Europe & Central Asia,High income: OECD,1998,8.80,14.00,4733.95,5617110000.00,4052.29,10.80,10.10,69.36,32.70,9.51
Estonia,EST,Europe & Central Asia,High income: OECD,1997,9.00,13.30,4811.60,5066240000.00,3619.95,5.71,10.90,69.81,33.02,10.37
Estonia,EST,Europe & Central Asia,High income: OECD,1996,9.40,13.40,4556.39,4746110000.00,3352.73,3.53,11.70,69.61,33.39,9.92
Estonia,EST,Europe & Central Asia,High income: OECD,1995,9.40,14.50,4244.64,4373670000.00,3044.38,2.78,12.40,67.54,33.89,9.66
Estonia,EST,Europe & Central Asia,High income: OECD,1994,9.70,15.20,4354.83,,,1.16,13.00,66.50,34.50,7.56
Estonia,EST,Europe & Central Asia,High income: OECD,1993,10.20,14.20,4049.85,,,0.30,13.40,67.91,35.25,6.54
Estonia,EST,Europe & Central Asia,High income: OECD,1992,11.80,13.10,4933.82,,,0.07,13.70,68.86,36.17,3.68
Estonia,EST,Europe & Central Asia,High income: OECD,1991,12.40,12.60,5617.06,,,,13.80,69.37,36.83,1.47
Estonia,EST,Europe & Central Asia,High income: OECD,1990,14.20,12.40,5755.89,,,0.00,14.00,69.48,37.02,
Estonia,EST,Europe & Central Asia,High income: OECD,1989,15.50,11.80,,,,,14.10,70.04,36.99,
Estonia,EST,Europe & Central Asia,High income: OECD,1988,16.00,11.90,,,,,14.30,70.70,36.85,
Estonia,EST,Europe & Central Asia,High income: OECD,1987,16.20,11.80,,,,,14.50,70.64,36.62,
Estonia,EST,Europe & Central Asia,High income: OECD,1986,15.70,11.70,,,,,14.70,70.09,36.33,
Estonia,EST,Europe & Central Asia,High income: OECD,1985,15.50,12.70,,,,,15.00,69.38,36.06,
Estonia,EST,Europe & Central Asia,High income: OECD,1984,16.00,12.60,,,,,15.40,69.28,35.82,
Estonia,EST,Europe & Central Asia,High income: OECD,1983,16.00,12.10,,,,,15.90,69.38,35.59,
Estonia,EST,Europe & Central Asia,High income: OECD,1982,15.40,11.90,,,,,16.50,69.13,35.35,
Estonia,EST,Europe & Central Asia,High income: OECD,1981,15.40,12.30,,,,,17.10,68.98,35.09,
Estonia,EST,Europe & Central Asia,High income: OECD,1980,15.00,12.30,,,,,17.70,68.91,34.85,
Estonia,EST,Europe & Central Asia,High income: OECD,1979,14.90,12.30,,,,,,68.94,34.64,
Estonia,EST,Europe & Central Asia,High income: OECD,1978,15.00,12.20,,,,,,69.03,34.45,
Estonia,EST,Europe & Central Asia,High income: OECD,1977,15.20,11.80,,,,,,69.15,34.21,
Estonia,EST,Europe & Central Asia,High income: OECD,1976,15.10,12.10,,,,,,69.29,33.96,
Estonia,EST,Europe & Central Asia,High income: OECD,1975,14.90,11.60,,,,,,69.44,33.72,
Estonia,EST,Europe & Central Asia,High income: OECD,1974,15.10,10.90,,,,,,69.59,33.46,
Estonia,EST,Europe & Central Asia,High income: OECD,1973,15.10,11.10,,,,,,69.72,33.17,
Estonia,EST,Europe & Central Asia,High income: OECD,1972,15.60,11.10,,,,,,69.83,32.85,
Estonia,EST,Europe & Central Asia,High income: OECD,1971,16.10,10.90,,,,,,69.91,32.48,
Estonia,EST,Europe & Central Asia,High income: OECD,1970,15.80,11.20,,,,,,69.94,32.08,
Estonia,EST,Europe & Central Asia,High income: OECD,1969,15.40,11.30,,,,,,69.93,31.74,
Estonia,EST,Europe & Central Asia,High income: OECD,1968,14.90,10.70,,,,,,69.88,31.40,
Estonia,EST,Europe & Central Asia,High income: OECD,1967,14.20,10.40,,,,,,69.80,31.11,
Estonia,EST,Europe & Central Asia,High income: OECD,1966,14.20,10.50,,,,,,69.68,30.87,
Estonia,EST,Europe & Central Asia,High income: OECD,1965,14.60,10.40,,,,,,69.52,30.54,
Estonia,EST,Europe & Central Asia,High income: OECD,1964,15.40,10.00,,,,,,69.31,30.13,
Estonia,EST,Europe & Central Asia,High income: OECD,1963,15.30,10.50,,,,,,69.05,29.70,
Estonia,EST,Europe & Central Asia,High income: OECD,1962,16.10,10.90,,,,,,68.74,29.29,
Estonia,EST,Europe & Central Asia,High income: OECD,1961,16.50,10.60,,,,,,68.36,28.90,
Estonia,EST,Europe & Central Asia,High income: OECD,1960,16.70,10.50,,,,,,67.90,,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2018,,,,4703790000.00,4139.96,,43.00,,66.06,22.48
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2017,26.77,9.84,,4433660000.00,3941.90,47.00,45.50,58.32,65.39,22.34
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2016,27.18,10.46,,3817430000.00,3426.83,28.57,46.30,56.96,64.77,22.72
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2015,27.58,11.24,,4020280000.00,3641.41,25.64,47.90,55.36,64.19,23.64
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2014,28.02,12.15,,4377290000.00,3997.45,26.18,52.80,53.57,63.66,24.50
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2013,28.53,13.17,,4560710000.00,4196.31,24.70,54.00,51.70,63.19,25.41
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2012,29.11,14.23,,4823830000.00,4469.46,20.78,55.60,49.86,62.75,25.98
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2011,29.75,15.27,,4820500000.00,4496.60,18.13,57.30,48.14,62.33,26.68
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2010,30.39,16.23,,4438780000.00,4168.51,11.04,59.30,46.60,61.91,27.31
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2009,30.97,17.08,,3580420000.00,3385.84,8.94,63.00,45.28,61.48,27.75
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2008,31.44,17.77,,3294090000.00,3137.40,6.85,67.80,44.17,61.04,27.30
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2007,31.77,18.28,,3469360000.00,3327.44,4.10,68.20,43.31,60.62,28.24
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2006,31.96,18.57,,3291350000.00,3176.70,3.70,69.30,42.73,60.24,28.28
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2005,32.02,18.59,,3178130000.00,3083.83,3.70,78.00,42.52,59.92,28.25
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2004,32.01,18.31,,2770080000.00,2699.13,3.23,80.00,42.73,59.67,27.69
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2003,31.98,17.75,,2197610000.00,2148.62,2.44,81.50,43.37,59.47,27.33
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2002,32.00,16.97,,1432230000.00,1405.44,1.82,81.70,44.41,59.25,26.51
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2001,32.10,15.99,,1542480000.00,1521.77,1.28,81.30,45.80,58.93,25.44
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2000,32.32,14.88,,1738100000.00,1728.71,0.93,79.80,47.49,58.46,24.91
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1999,32.67,13.69,,1547880000.00,1557.06,0.47,77.30,49.42,57.80,23.97
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1998,33.14,12.49,,1576900000.00,1609.22,0.10,74.30,51.50,56.97,22.46
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1997,33.70,11.34,,1716700000.00,1781.87,0.09,71.10,53.60,56.01,22.50
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1996,34.36,10.31,,1602760000.00,1695.13,0.05,68.00,55.61,54.97,22.09
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1995,35.08,9.43,,1698980000.00,1833.09,0.00,65.00,57.42,53.89,21.65
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1994,35.84,8.74,,1419290000.00,1563.75,,61.80,58.96,52.77,21.29
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1993,36.60,8.22,,1357210000.00,1528.89,,58.70,60.19,51.61,21.02
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1992,37.36,7.85,,1284770000.00,1481.86,,56.10,61.11,50.41,20.49
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1991,38.13,7.64,,1156140000.00,1367.78,,54.30,61.70,49.14,20.35
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1990,38.95,7.59,,1114700000.00,1355.39,0.00,53.60,61.95,47.82,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1989,39.87,7.69,,696915000.00,872.77,,54.10,61.89,46.42,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1988,40.94,7.92,,692017000.00,894.35,,55.50,61.57,44.99,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1987,42.14,8.25,,584136000.00,780.27,,57.60,61.08,43.53,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1986,43.46,8.67,,449147000.00,620.72,,60.30,60.46,42.07,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1985,44.80,9.15,,361015000.00,516.41,,63.50,59.75,40.64,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1984,46.08,9.68,,494476000.00,732.30,,67.10,58.98,39.26,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1983,47.21,10.25,,555336000.00,851.59,,70.80,58.16,37.91,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1982,48.13,10.83,,537576000.00,853.55,,74.60,57.31,36.62,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1981,48.81,11.42,,571543000.00,939.45,,78.30,56.45,35.37,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1980,49.28,12.01,,542001000.00,921.99,,81.80,55.61,34.18,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1979,49.58,12.59,,412093000.00,725.11,,85.20,54.80,33.04,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1978,49.80,13.17,,340616000.00,619.53,,88.60,53.99,31.96,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1977,49.99,13.76,,304048000.00,571.24,,92.30,53.20,30.95,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1976,50.18,14.34,,272539000.00,528.59,,96.00,52.42,29.98,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1975,50.35,14.91,,288303000.00,576.88,,100.10,51.66,29.06,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1974,50.47,15.47,,264312000.00,545.26,,104.10,50.92,28.18,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1973,50.50,16.01,,221902000.00,471.57,,108.10,50.19,27.36,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1972,50.42,16.53,,146741000.00,321.07,,111.80,49.48,26.57,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1971,50.23,17.03,,136465000.00,307.37,,115.00,48.79,25.81,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1970,49.96,17.49,,112138000.00,260.03,,118.00,48.13,25.07,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1969,49.62,17.93,,105418000.00,251.75,,120.60,47.51,24.35,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1968,49.26,18.33,,79798400.00,196.30,,123.10,46.94,23.63,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1967,48.90,18.69,,74758500.00,189.38,,125.50,46.41,22.95,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1966,48.58,19.03,,76858500.00,200.24,,128.00,45.93,22.32,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1965,48.30,19.34,,70278600.00,187.95,,130.60,45.49,21.74,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1964,48.07,19.63,,64979300.00,177.97,,133.10,45.08,21.23,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1963,47.88,19.91,,54128400.00,151.50,,135.40,44.70,20.77,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1962,47.73,20.18,,45927100.00,131.16,,137.70,44.33,20.36,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1961,47.61,20.46,,43025200.00,125.31,,139.60,43.95,19.96,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1960,47.52,20.74,,35076200.00,104.21,,141.50,43.57,,
Ethiopia,ETH,Sub-Saharan Africa,Low income,2018,,,,84355500000.00,772.31,,39.10,,109.23,1.81
Ethiopia,ETH,Sub-Saharan Africa,Low income,2017,32.78,6.69,,81716300000.00,768.01,18.62,40.60,65.87,106.40,1.81
Ethiopia,ETH,Sub-Saharan Africa,Low income,2016,33.21,6.84,,74271300000.00,716.88,15.37,42.10,65.48,103.60,1.94
Ethiopia,ETH,Sub-Saharan Africa,Low income,2015,33.64,7.02,,64464500000.00,639.30,13.86,43.80,65.05,100.84,2.01
Ethiopia,ETH,Sub-Saharan Africa,Low income,2014,34.06,7.22,69.20,55612200000.00,566.93,7.70,45.70,64.55,98.09,2.10
Ethiopia,ETH,Sub-Saharan Africa,Low income,2013,34.48,7.46,64.06,47648200000.00,499.53,4.60,47.80,63.96,95.39,2.25
Ethiopia,ETH,Sub-Saharan Africa,Low income,2012,34.92,7.73,57.21,43310700000.00,467.08,2.90,50.00,63.28,92.73,2.20
Ethiopia,ETH,Sub-Saharan Africa,Low income,2011,35.37,8.06,52.55,31952800000.00,354.48,1.10,52.30,62.51,90.14,2.29
Ethiopia,ETH,Sub-Saharan Africa,Low income,2010,35.86,8.44,48.30,29933800000.00,341.55,0.75,54.80,61.63,87.64,2.39
Ethiopia,ETH,Sub-Saharan Africa,Low income,2009,36.41,8.88,42.15,32437400000.00,380.57,0.54,57.50,60.65,85.23,2.35
Ethiopia,ETH,Sub-Saharan Africa,Low income,2008,37.04,9.38,40.99,27066900000.00,326.44,0.45,60.40,59.58,82.92,2.13
Ethiopia,ETH,Sub-Saharan Africa,Low income,2007,37.73,9.93,39.57,19707600000.00,244.29,0.37,63.50,58.47,80.67,2.18
Ethiopia,ETH,Sub-Saharan Africa,Low income,2006,38.49,10.52,37.48,15280900000.00,194.69,0.31,66.80,57.33,78.49,2.30
Ethiopia,ETH,Sub-Saharan Africa,Low income,2005,39.31,11.13,33.53,12401100000.00,162.43,0.22,70.30,56.22,76.35,2.50
Ethiopia,ETH,Sub-Saharan Africa,Low income,2004,40.19,11.74,30.78,10131200000.00,136.47,0.16,73.80,55.17,74.24,2.67
Ethiopia,ETH,Sub-Saharan Africa,Low income,2003,41.10,12.35,28.63,8623690000.00,119.49,0.11,77.50,54.21,72.17,2.91
Ethiopia,ETH,Sub-Saharan Africa,Low income,2002,42.01,12.94,26.23,7850810000.00,111.93,0.07,81.00,53.35,70.14,3.07
Ethiopia,ETH,Sub-Saharan Africa,Low income,2001,42.90,13.50,26.57,8231330000.00,120.77,0.04,84.50,52.60,68.16,3.21
Ethiopia,ETH,Sub-Saharan Africa,Low income,2000,43.73,14.02,22.76,8242390000.00,124.46,0.02,87.80,51.94,66.22,3.44
Ethiopia,ETH,Sub-Saharan Africa,Low income,1999,44.45,14.52,23.00,7700830000.00,119.68,0.01,91.00,51.37,64.34,3.71
Ethiopia,ETH,Sub-Saharan Africa,Low income,1998,45.07,14.99,23.81,7818220000.00,125.08,0.01,94.20,50.84,62.51,3.49
Ethiopia,ETH,Sub-Saharan Africa,Low income,1997,45.56,15.44,23.94,8589210000.00,141.51,0.00,97.50,50.32,60.70,3.49
Ethiopia,ETH,Sub-Saharan Africa,Low income,1996,45.95,15.88,24.51,8547940000.00,145.17,0.00,100.90,49.81,58.88,3.34
Ethiopia,ETH,Sub-Saharan Africa,Low income,1995,46.25,16.30,24.09,7663980000.00,134.34,0.00,104.30,49.30,57.05,3.32
Ethiopia,ETH,Sub-Saharan Africa,Low income,1994,46.48,16.70,23.67,6927950000.00,125.55,,107.90,48.81,55.18,3.10
Ethiopia,ETH,Sub-Saharan Africa,Low income,1993,46.70,17.08,23.36,8830710000.00,165.69,,111.40,48.34,53.30,3.10
Ethiopia,ETH,Sub-Saharan Africa,Low income,1992,46.93,17.43,21.72,10493000000.00,204.05,,114.60,47.91,51.42,2.98
Ethiopia,ETH,Sub-Saharan Africa,Low income,1991,47.19,17.78,21.93,13463900000.00,271.39,,117.50,47.50,49.61,2.90
Ethiopia,ETH,Sub-Saharan Africa,Low income,1990,47.48,18.14,22.59,12175200000.00,254.24,0.00,120.10,47.10,47.89,
Ethiopia,ETH,Sub-Saharan Africa,Low income,1989,47.80,18.54,18.72,11476600000.00,248.02,,122.40,46.67,46.27,
Ethiopia,ETH,Sub-Saharan Africa,Low income,1988,48.12,18.98,19.30,10908900000.00,243.74,,124.60,46.19,44.76,
Ethiopia,ETH,Sub-Saharan Africa,Low income,1987,48.43,19.46,20.33,10527300000.00,242.96,,126.70,45.68,43.33,
Ethiopia,ETH,Sub-Saharan Africa,Low income,1986,48.71,19.96,19.90,9848600000.00,234.68,,128.90,45.15,41.97,
Ethiopia,ETH,Sub-Saharan Africa,Low income,1985,48.94,20.45,19.90,9480840000.00,233.22,,131.10,44.63,40.65,
Ethiopia,ETH,Sub-Saharan Africa,Low income,1984,49.09,20.86,21.38,8096300000.00,205.62,,133.50,44.20,39.37,
Ethiopia,ETH,Sub-Saharan Africa,Low income,1983,49.16,21.17,20.45,8567890000.00,224.63,,135.90,43.89,38.14,
Ethiopia,ETH,Sub-Saharan Africa,Low income,1982,49.16,21.35,19.68,7707680000.00,208.34,,138.10,43.71,37.00,
Ethiopia,ETH,Sub-Saharan Africa,Low income,1981,49.09,21.40,18.95,7324900000.00,203.56,,139.90,43.68,35.98,
Ethiopia,ETH,Sub-Saharan Africa,Low income,1980,48.97,21.34,18.07,,,,141.40,43.75,35.14,
Ethiopia,ETH,Sub-Saharan Africa,Low income,1979,48.84,21.20,17.28,,,,142.40,43.88,34.49,
Ethiopia,ETH,Sub-Saharan Africa,Low income,1978,48.73,21.04,15.74,,,,143.00,44.02,33.99,
Ethiopia,ETH,Sub-Saharan Africa,Low income,1977,48.64,20.91,15.04,,,,143.40,44.10,33.58,
Ethiopia,ETH,Sub-Saharan Africa,Low income,1976,48.59,20.81,16.03,,,,143.50,44.12,33.13,
Ethiopia,ETH,Sub-Saharan Africa,Low income,1975,48.57,20.78,16.49,,,,143.60,44.04,32.57,
Ethiopia,ETH,Sub-Saharan Africa,Low income,1974,48.54,20.81,17.01,,,,143.70,43.89,31.86,
Ethiopia,ETH,Sub-Saharan Africa,Low income,1973,48.48,20.88,17.75,,,,143.80,43.69,31.04,
Ethiopia,ETH,Sub-Saharan Africa,Low income,1972,48.38,20.98,18.71,,,,143.90,43.47,30.14,
Ethiopia,ETH,Sub-Saharan Africa,Low income,1971,48.24,21.11,18.87,,,,144.00,43.21,29.25,
Ethiopia,ETH,Sub-Saharan Africa,Low income,1970,48.08,21.27,,,,,144.00,42.94,28.42,
Ethiopia,ETH,Sub-Saharan Africa,Low income,1969,47.92,21.45,,,,,144.10,42.66,27.65,
Ethiopia,ETH,Sub-Saharan Africa,Low income,1968,47.79,21.67,,,,,144.20,42.36,26.94,
Ethiopia,ETH,Sub-Saharan Africa,Low income,1967,47.73,21.91,,,,,144.40,42.03,26.28,
Ethiopia,ETH,Sub-Saharan Africa,Low income,1966,47.71,22.19,,,,,144.60,41.67,25.64,
Ethiopia,ETH,Sub-Saharan Africa,Low income,1965,47.74,22.51,,,,,,41.27,25.01,
